conference,analysis_stratum,function,papers,papers_present,paper_prevalence,mean_mentions_per_paper,mean_sentence_share
ICLR,all,object_scope,6,6,1.0,2.0,0.273413
ICLR,all,problem_gap,6,5,0.833333,1.333333,0.180357
ICLR,all,core_idea,6,5,0.833333,1.5,0.194048
ICLR,all,method,6,5,0.833333,2.333333,0.305952
ICLR,all,theory,6,2,0.333333,1.0,0.15873
ICLR,all,experimental_setup,6,4,0.666667,1.333333,0.158929
ICLR,all,quantitative_result,6,3,0.5,0.666667,0.089286
ICLR,all,qualitative_result,6,6,1.0,1.833333,0.249405
ICLR,all,limitation,6,1,0.166667,0.166667,0.02381
ICLR,all,impact_claim,6,6,1.0,1.333333,0.181349
ICLR,oral,object_scope,4,4,1.0,2.0,0.264286
ICLR,oral,problem_gap,4,4,1.0,1.75,0.239286
ICLR,oral,core_idea,4,4,1.0,1.75,0.228571
ICLR,oral,method,4,4,1.0,3.0,0.396429
ICLR,oral,theory,4,1,0.25,0.5,0.071429
ICLR,oral,experimental_setup,4,3,0.75,1.75,0.207143
ICLR,oral,quantitative_result,4,2,0.5,0.5,0.071429
ICLR,oral,qualitative_result,4,4,1.0,1.75,0.217857
ICLR,oral,limitation,4,1,0.25,0.25,0.035714
ICLR,oral,impact_claim,4,4,1.0,1.25,0.167857
ICLR,outstanding,object_scope,2,2,1.0,2.0,0.291667
ICLR,outstanding,problem_gap,2,1,0.5,0.5,0.0625
ICLR,outstanding,core_idea,2,1,0.5,1.0,0.125
ICLR,outstanding,method,2,1,0.5,1.0,0.125
ICLR,outstanding,theory,2,1,0.5,2.0,0.333333
ICLR,outstanding,experimental_setup,2,1,0.5,0.5,0.0625
ICLR,outstanding,quantitative_result,2,1,0.5,1.0,0.125
ICLR,outstanding,qualitative_result,2,2,1.0,2.0,0.3125
ICLR,outstanding,limitation,2,0,0.0,0.0,0.0
ICLR,outstanding,impact_claim,2,2,1.0,1.5,0.208333
