statistic,value,figure_count,figure_share,papers_present,paper_prevalence,conference_equal_paper_prevalence
hex,#2B6CB0,2,0.000651,2,0.008,0.008333
hex,#2B6ED2,2,0.000651,1,0.004,0.005
hex,#2B8C2B,2,0.000651,1,0.004,0.003333
hex,#2C3172,2,0.000651,1,0.004,0.005
hex,#2C3E50,2,0.000651,1,0.004,0.003333
hex,#2C5282,2,0.000651,1,0.004,0.005
hex,#2D75B6,2,0.000651,1,0.004,0.003333
hex,#2D81C5,2,0.000651,1,0.004,0.005
hex,#2D8CDB,2,0.000651,1,0.004,0.005
hex,#2E5D8A,2,0.000651,1,0.004,0.005
hex,#2E86DE,2,0.000651,2,0.008,0.006667
hex,#2E8ABE,2,0.000651,1,0.004,0.003333
hex,#2F6DB0,2,0.000651,2,0.008,0.008333
hex,#2F6EA5,2,0.000651,2,0.008,0.006667
hex,#2F74B5,2,0.000651,1,0.004,0.003333
hex,#2F7DB7,2,0.000651,1,0.004,0.005
hex,#2FA846,2,0.000651,1,0.004,0.005
hex,#314B77,2,0.000651,1,0.004,0.003333
hex,#3182BD,2,0.000651,2,0.008,0.008333
hex,#31A354,2,0.000651,2,0.008,0.01
hex,#31A752,2,0.000651,1,0.004,0.003333
hex,#326C87,2,0.000651,1,0.004,0.003333
hex,#334EA9,2,0.000651,1,0.004,0.003333
hex,#33858D,2,0.000651,1,0.004,0.005
hex,#34495E,2,0.000651,1,0.004,0.003333
hex,#348ABD,2,0.000651,1,0.004,0.005
hex,#3498DB,2,0.000651,2,0.008,0.006667
hex,#36A5C4,2,0.000651,1,0.004,0.005
hex,#377FA8,2,0.000651,2,0.008,0.006667
hex,#37AFD8,2,0.000651,1,0.004,0.003333
hex,#397BA5,2,0.000651,1,0.004,0.003333
hex,#39A852,2,0.000651,2,0.008,0.01
hex,#39A98A,2,0.000651,1,0.004,0.003333
hex,#39B8B1,2,0.000651,1,0.004,0.003333
hex,#39BFEA,2,0.000651,1,0.004,0.003333
hex,#3A97E8,2,0.000651,1,0.004,0.003333
hex,#3B608C,2,0.000651,1,0.004,0.003333
hex,#3BA3BE,2,0.000651,1,0.004,0.005
hex,#3BA68E,2,0.000651,1,0.004,0.003333
hex,#3D9BD3,2,0.000651,1,0.004,0.003333
hex,#3E8ED0,2,0.000651,1,0.004,0.003333
hex,#3E963B,2,0.000651,1,0.004,0.005
hex,#3F8B42,2,0.000651,1,0.004,0.003333
hex,#3FA4A8,2,0.000651,1,0.004,0.005
hex,#3FB987,2,0.000651,1,0.004,0.003333
hex,#409074,2,0.000651,1,0.004,0.003333
hex,#41C1A8,2,0.000651,1,0.004,0.003333
hex,#4285C5,2,0.000651,1,0.004,0.005
hex,#42A85F,2,0.000651,1,0.004,0.003333
hex,#42D8D8,2,0.000651,1,0.004,0.005
hex,#43AA8B,2,0.000651,2,0.008,0.008333
hex,#444444,2,0.000651,2,0.008,0.008333
hex,#449A3B,2,0.000651,1,0.004,0.003333
hex,#44A7A1,2,0.000651,1,0.004,0.005
hex,#468FD8,2,0.000651,1,0.004,0.005
hex,#46A6B3,2,0.000651,1,0.004,0.005
hex,#475C63,2,0.000651,1,0.004,0.005
hex,#48D058,2,0.000651,1,0.004,0.003333
hex,#4A4A4A,2,0.000651,1,0.004,0.003333
hex,#4A5492,2,0.000651,1,0.004,0.005
hex,#4A90D9,2,0.000651,1,0.004,0.005
hex,#4A9BD0,2,0.000651,1,0.004,0.003333
hex,#4B00A8,2,0.000651,1,0.004,0.003333
hex,#4B6EC4,2,0.000651,1,0.004,0.005
hex,#4B7B29,2,0.000651,1,0.004,0.003333
hex,#4C2C82,2,0.000651,1,0.004,0.003333
hex,#4C4CFF,2,0.000651,1,0.004,0.005
hex,#4C78E8,2,0.000651,1,0.004,0.003333
hex,#4C92C3,2,0.000651,2,0.008,0.006667
hex,#4D5AA8,2,0.000651,1,0.004,0.003333
hex,#4D79A7,2,0.000651,1,0.004,0.005
hex,#4D8075,2,0.000651,1,0.004,0.005
hex,#4D90FE,2,0.000651,1,0.004,0.003333
hex,#4D9BC0,2,0.000651,1,0.004,0.003333
hex,#4DAF50,2,0.000651,1,0.004,0.005
hex,#4E9A65,2,0.000651,1,0.004,0.003333
hex,#4E9AD6,2,0.000651,1,0.004,0.005
hex,#4F88FF,2,0.000651,2,0.008,0.006667
hex,#4F9D69,2,0.000651,2,0.008,0.008333
hex,#506277,2,0.000651,1,0.004,0.005
hex,#5078B5,2,0.000651,1,0.004,0.005
hex,#5095C4,2,0.000651,1,0.004,0.005
hex,#50B9A8,2,0.000651,1,0.004,0.003333
hex,#53AA67,2,0.000651,1,0.004,0.005
hex,#53B5A7,2,0.000651,1,0.004,0.005
hex,#548235,2,0.000651,2,0.008,0.006667
hex,#55A8E8,2,0.000651,1,0.004,0.005
hex,#55B6AB,2,0.000651,1,0.004,0.003333
hex,#564A4D,2,0.000651,1,0.004,0.005
hex,#56857B,2,0.000651,1,0.004,0.005
hex,#56C6BA,2,0.000651,1,0.004,0.003333
hex,#56C878,2,0.000651,1,0.004,0.005
hex,#577590,2,0.000651,2,0.008,0.008333
hex,#5793C6,2,0.000651,1,0.004,0.003333
hex,#5794CB,2,0.000651,1,0.004,0.005
hex,#59669D,2,0.000651,1,0.004,0.005
hex,#5A8F62,2,0.000651,1,0.004,0.003333
hex,#5A9EC9,2,0.000651,1,0.004,0.005
hex,#5A9F5A,2,0.000651,1,0.004,0.003333
hex,#5A9F9F,2,0.000651,1,0.004,0.005
hex,#5AB55A,2,0.000651,1,0.004,0.005
hex,#5B6573,2,0.000651,1,0.004,0.003333
hex,#5B8DB8,2,0.000651,1,0.004,0.003333
hex,#5B9BCB,2,0.000651,1,0.004,0.003333
hex,#5BC0EB,2,0.000651,2,0.008,0.01
hex,#5C3221,2,0.000651,1,0.004,0.003333
hex,#5D86B3,2,0.000651,1,0.004,0.003333
hex,#5D8A64,2,0.000651,1,0.004,0.003333
hex,#5DC962,2,0.000651,1,0.004,0.005
hex,#5E5E5E,2,0.000651,2,0.008,0.006667
hex,#646464,2,0.000651,1,0.004,0.005
hex,#64B5AA,2,0.000651,1,0.004,0.005
hex,#669AB0,2,0.000651,1,0.004,0.003333
hex,#68BDB7,2,0.000651,1,0.004,0.005
hex,#68BFA8,2,0.000651,1,0.004,0.003333
hex,#68C0A9,2,0.000651,1,0.004,0.003333
hex,#6A96C1,2,0.000651,1,0.004,0.003333
hex,#6A9BA3,2,0.000651,1,0.004,0.003333
hex,#6AA56A,2,0.000651,1,0.004,0.005
hex,#6AA84F,2,0.000651,2,0.008,0.01
hex,#6BB4D9,2,0.000651,1,0.004,0.005
hex,#6BCB77,2,0.000651,2,0.008,0.008333
hex,#6BDF73,2,0.000651,1,0.004,0.005
hex,#6C5CE7,2,0.000651,1,0.004,0.003333
hex,#6C63FF,2,0.000651,1,0.004,0.005
hex,#6D147A,2,0.000651,1,0.004,0.005
hex,#6D92B4,2,0.000651,1,0.004,0.003333
hex,#6E9D51,2,0.000651,1,0.004,0.003333
hex,#6EAFD2,2,0.000651,1,0.004,0.003333
hex,#6EBB50,2,0.000651,1,0.004,0.003333
hex,#7030A0,2,0.000651,2,0.008,0.008333
hex,#707070,2,0.000651,2,0.008,0.006667
hex,#70A886,2,0.000651,1,0.004,0.003333
hex,#70B58D,2,0.000651,1,0.004,0.003333
hex,#70B7D8,2,0.000651,1,0.004,0.003333
hex,#727272,2,0.000651,2,0.008,0.006667
hex,#72B7B2,2,0.000651,2,0.008,0.006667
hex,#72C5E5,2,0.000651,1,0.004,0.005
hex,#72E19F,2,0.000651,1,0.004,0.003333
hex,#73C7A8,2,0.000651,1,0.004,0.005
hex,#74C476,2,0.000651,2,0.008,0.008333
hex,#74C7D1,2,0.000651,1,0.004,0.003333
hex,#74CFA9,2,0.000651,1,0.004,0.003333
hex,#75B96A,2,0.000651,1,0.004,0.003333
hex,#78C6BF,2,0.000651,1,0.004,0.003333
hex,#79A7E3,2,0.000651,1,0.004,0.003333
hex,#79B8D3,2,0.000651,1,0.004,0.003333
hex,#7A2E83,2,0.000651,1,0.004,0.003333
hex,#7AA5D8,2,0.000651,1,0.004,0.005
hex,#7AC943,2,0.000651,1,0.004,0.003333
hex,#7B2CBF,2,0.000651,1,0.004,0.003333
hex,#7B4AB5,2,0.000651,2,0.008,0.006667
hex,#7B5AA6,2,0.000651,2,0.008,0.006667
hex,#7B83D5,2,0.000651,1,0.004,0.005
hex,#7CCB6A,2,0.000651,1,0.004,0.005
hex,#7D7D7D,2,0.000651,2,0.008,0.008333
hex,#7EC8E3,2,0.000651,1,0.004,0.003333
hex,#7FCDBB,2,0.000651,2,0.008,0.006667
hex,#8172B3,2,0.000651,2,0.008,0.008333
hex,#82B366,2,0.000651,2,0.008,0.006667
hex,#83B875,2,0.000651,1,0.004,0.003333
hex,#83CBEB,2,0.000651,2,0.008,0.008333
hex,#84A4C4,2,0.000651,1,0.004,0.005
hex,#87CEEB,2,0.000651,2,0.008,0.006667
hex,#8970AA,2,0.000651,1,0.004,0.003333
hex,#8AB6E6,2,0.000651,1,0.004,0.003333
hex,#8B430A,2,0.000651,1,0.004,0.003333
hex,#8B5AAE,2,0.000651,1,0.004,0.005
hex,#8BB7F0,2,0.000651,1,0.004,0.003333
hex,#8C705F,2,0.000651,1,0.004,0.005
hex,#8C83BD,2,0.000651,1,0.004,0.005
hex,#8D6BB3,2,0.000651,1,0.004,0.005
hex,#8D6CCB,2,0.000651,1,0.004,0.005
hex,#8E2A8E,2,0.000651,1,0.004,0.003333
hex,#8E63CE,2,0.000651,1,0.004,0.005
hex,#8E6AA8,2,0.000651,1,0.004,0.003333
hex,#8E6BBE,2,0.000651,2,0.008,0.008333
hex,#8EA9C1,2,0.000651,2,0.008,0.008333
hex,#8EC7E0,2,0.000651,1,0.004,0.005
hex,#8FB08F,2,0.000651,1,0.004,0.003333
hex,#8FB5F1,2,0.000651,1,0.004,0.005
hex,#8FB7F0,2,0.000651,1,0.004,0.003333
hex,#8FC1DB,2,0.000651,1,0.004,0.003333
hex,#8FD3E8,2,0.000651,1,0.004,0.003333
hex,#908EA9,2,0.000651,1,0.004,0.005
hex,#90D743,2,0.000651,2,0.008,0.006667
hex,#90EE90,2,0.000651,1,0.004,0.003333
hex,#9367BC,2,0.000651,2,0.008,0.01
hex,#9370DB,2,0.000651,1,0.004,0.005
hex,#94C7F2,2,0.000651,1,0.004,0.003333
hex,#96CEB4,2,0.000651,1,0.004,0.003333
hex,#973CA3,2,0.000651,1,0.004,0.003333
hex,#990000,2,0.000651,2,0.008,0.008333
hex,#992335,2,0.000651,1,0.004,0.003333
hex,#9A76D1,2,0.000651,1,0.004,0.003333
hex,#9A776F,2,0.000651,1,0.004,0.005
hex,#9B59B6,2,0.000651,2,0.008,0.008333
hex,#9B70C7,2,0.000651,1,0.004,0.003333
hex,#9BC7D1,2,0.000651,1,0.004,0.005
hex,#9BCB45,2,0.000651,1,0.004,0.003333
hex,#9CC9E2,2,0.000651,1,0.004,0.003333
hex,#9E480E,2,0.000651,1,0.004,0.005
hex,#9EC5E5,2,0.000651,2,0.008,0.01
hex,#9FB5F2,2,0.000651,1,0.004,0.003333
hex,#9FD356,2,0.000651,1,0.004,0.005
hex,#A05AC7,2,0.000651,1,0.004,0.005
hex,#A0C0E0,2,0.000651,1,0.004,0.003333
hex,#A1D76A,2,0.000651,2,0.008,0.006667
hex,#A1DAB4,2,0.000651,1,0.004,0.005
hex,#A23B72,2,0.000651,2,0.008,0.008333
hex,#A2D1FD,2,0.000651,1,0.004,0.003333
hex,#A2D1FF,2,0.000651,1,0.004,0.003333
hex,#A383A7,2,0.000651,1,0.004,0.003333
hex,#A4D68C,2,0.000651,1,0.004,0.003333
hex,#A56744,2,0.000651,1,0.004,0.003333
hex,#A56E4D,2,0.000651,1,0.004,0.005
hex,#A5CD90,2,0.000651,1,0.004,0.005
hex,#A5D7EA,2,0.000651,1,0.004,0.003333
hex,#A6611A,2,0.000651,1,0.004,0.003333
hex,#A6A33A,2,0.000651,1,0.004,0.005
hex,#A6D4C3,2,0.000651,1,0.004,0.003333
hex,#A6D8A8,2,0.000651,1,0.004,0.003333
hex,#A7CDF2,2,0.000651,1,0.004,0.003333
hex,#A7D2EE,2,0.000651,1,0.004,0.005
hex,#A7D39A,2,0.000651,1,0.004,0.003333
hex,#A7D854,2,0.000651,1,0.004,0.003333
hex,#A7D8FF,2,0.000651,1,0.004,0.003333
hex,#A7D99B,2,0.000651,1,0.004,0.003333
hex,#A7DBB9,2,0.000651,1,0.004,0.005
hex,#A8C8F0,2,0.000651,2,0.008,0.006667
hex,#A97CC4,2,0.000651,1,0.004,0.005
hex,#A9D48C,2,0.000651,1,0.004,0.005
hex,#A9D6E5,2,0.000651,1,0.004,0.003333
hex,#AA3A11,2,0.000651,1,0.004,0.003333
hex,#AAC8E1,2,0.000651,1,0.004,0.003333
hex,#ADDC30,2,0.000651,2,0.008,0.008333
hex,#AEAEAE,2,0.000651,2,0.008,0.006667
hex,#AFC5EA,2,0.000651,1,0.004,0.005
hex,#AFCB81,2,0.000651,1,0.004,0.003333
hex,#B0D0B8,2,0.000651,1,0.004,0.003333
hex,#B1D3E1,2,0.000651,1,0.004,0.003333
hex,#B2B2B2,2,0.000651,1,0.004,0.003333
hex,#B2DF8A,2,0.000651,1,0.004,0.005
hex,#B43B7D,2,0.000651,1,0.004,0.005
hex,#B4C7E7,2,0.000651,1,0.004,0.005
hex,#B4D8F0,2,0.000651,1,0.004,0.005
hex,#B4E8C8,2,0.000651,1,0.004,0.005
hex,#B5DE2B,2,0.000651,1,0.004,0.005
hex,#B5EAE0,2,0.000651,1,0.004,0.003333
hex,#B66F3C,2,0.000651,1,0.004,0.003333
hex,#B6C5E6,2,0.000651,1,0.004,0.003333
hex,#B6D76A,2,0.000651,1,0.004,0.003333
hex,#B6D7A8,2,0.000651,1,0.004,0.005
hex,#B6D98B,2,0.000651,1,0.004,0.005
hex,#B74545,2,0.000651,1,0.004,0.003333
hex,#B79A32,2,0.000651,1,0.004,0.003333
hex,#B7B8B8,2,0.000651,1,0.004,0.005
hex,#B7C4C9,2,0.000651,1,0.004,0.003333
hex,#B7E3C4,2,0.000651,1,0.004,0.003333
hex,#B8D3A8,2,0.000651,1,0.004,0.005
hex,#B8D8F1,2,0.000651,1,0.004,0.005
hex,#B94E3B,2,0.000651,1,0.004,0.005
hex,#B9654E,2,0.000651,1,0.004,0.005
hex,#B9B2E3,2,0.000651,1,0.004,0.003333
hex,#B9B9B9,2,0.000651,1,0.004,0.003333
hex,#B9C5EA,2,0.000651,1,0.004,0.003333
hex,#B9CBEA,2,0.000651,1,0.004,0.003333
hex,#B9DCF4,2,0.000651,1,0.004,0.005
hex,#BCD6F5,2,0.000651,1,0.004,0.003333
hex,#BDECF8,2,0.000651,1,0.004,0.005
hex,#BFD3E6,2,0.000651,2,0.008,0.008333
hex,#BFD8EE,2,0.000651,1,0.004,0.005
hex,#BFE7C8,2,0.000651,1,0.004,0.003333
hex,#C070D0,2,0.000651,1,0.004,0.003333
hex,#C26BAA,2,0.000651,1,0.004,0.005
hex,#C2D4C6,2,0.000651,1,0.004,0.005
hex,#C3C5D2,2,0.000651,1,0.004,0.005
hex,#C43B7F,2,0.000651,1,0.004,0.003333
hex,#C52B2B,2,0.000651,1,0.004,0.003333
hex,#C6BA69,2,0.000651,1,0.004,0.003333
hex,#C6CFE5,2,0.000651,1,0.004,0.003333
hex,#C6DDF4,2,0.000651,1,0.004,0.003333
hex,#C7D1D4,2,0.000651,2,0.008,0.008333
hex,#C7D2E2,2,0.000651,1,0.004,0.003333
hex,#C7EAF9,2,0.000651,1,0.004,0.003333
hex,#C8E6C9,2,0.000651,2,0.008,0.006667
hex,#C8EAF8,2,0.000651,1,0.004,0.003333
hex,#C8EAF9,2,0.000651,1,0.004,0.003333
hex,#C93F38,2,0.000651,1,0.004,0.005
hex,#C9A66B,2,0.000651,1,0.004,0.005
hex,#C9D7EE,2,0.000651,1,0.004,0.003333
hex,#C9DA6A,2,0.000651,1,0.004,0.003333
hex,#C9E1F4,2,0.000651,1,0.004,0.003333
hex,#C9E5B5,2,0.000651,1,0.004,0.005
hex,#CA5911,2,0.000651,1,0.004,0.003333
hex,#CBE5C1,2,0.000651,1,0.004,0.003333
hex,#CBEFF1,2,0.000651,1,0.004,0.003333
hex,#CC4778,2,0.000651,2,0.008,0.01
hex,#CC9999,2,0.000651,1,0.004,0.003333
hex,#CCEBC5,2,0.000651,1,0.004,0.003333
hex,#CD43FF,2,0.000651,1,0.004,0.005
hex,#CDEFF1,2,0.000651,1,0.004,0.005
hex,#CEB4E8,2,0.000651,1,0.004,0.005
hex,#CF6DAA,2,0.000651,1,0.004,0.005
hex,#CFE7A8,2,0.000651,2,0.008,0.008333
hex,#D2EBA9,2,0.000651,1,0.004,0.003333
hex,#D32F2F,2,0.000651,1,0.004,0.003333
hex,#D37295,2,0.000651,1,0.004,0.005
hex,#D3D2D0,2,0.000651,1,0.004,0.005
hex,#D5EAFB,2,0.000651,1,0.004,0.005
hex,#D62770,2,0.000651,1,0.004,0.005
hex,#D64B35,2,0.000651,1,0.004,0.005
hex,#D65F5F,2,0.000651,1,0.004,0.003333
hex,#D6A6E8,2,0.000651,1,0.004,0.005
hex,#D6B656,2,0.000651,2,0.008,0.006667
hex,#D77CFF,2,0.000651,1,0.004,0.003333
hex,#D7C3EA,2,0.000651,1,0.004,0.003333
hex,#D7E8F1,2,0.000651,1,0.004,0.005
hex,#D7E8F6,2,0.000651,1,0.004,0.003333
hex,#D7EAF7,2,0.000651,2,0.008,0.008333
hex,#D84A4A,2,0.000651,2,0.008,0.006667
hex,#D8A27A,2,0.000651,1,0.004,0.005
hex,#D8ED8B,2,0.000651,1,0.004,0.005
hex,#D94B89,2,0.000651,1,0.004,0.003333
hex,#D94E4E,2,0.000651,1,0.004,0.003333
hex,#D94F70,2,0.000651,1,0.004,0.003333
hex,#D96B6B,2,0.000651,2,0.008,0.008333
hex,#D98F45,2,0.000651,1,0.004,0.005
hex,#D9D2E9,2,0.000651,2,0.008,0.008333
hex,#D9E7F8,2,0.000651,1,0.004,0.003333
hex,#D9F0A3,2,0.000651,2,0.008,0.008333
hex,#D9F0F2,2,0.000651,1,0.004,0.003333
hex,#DAF0FE,2,0.000651,1,0.004,0.003333
hex,#DBAB6B,2,0.000651,1,0.004,0.003333
hex,#DCCCE8,2,0.000651,1,0.004,0.003333
hex,#DCE5F3,2,0.000651,1,0.004,0.003333
hex,#DCE8F2,2,0.000651,2,0.008,0.008333
hex,#DCE8F7,2,0.000651,2,0.008,0.006667
hex,#DCEFFC,2,0.000651,1,0.004,0.003333
hex,#DDA5BC,2,0.000651,1,0.004,0.003333
hex,#DDEAF6,2,0.000651,1,0.004,0.003333
hex,#DDEFD6,2,0.000651,1,0.004,0.003333
hex,#DF5657,2,0.000651,1,0.004,0.005
hex,#E07048,2,0.000651,1,0.004,0.003333
hex,#E0F2F5,2,0.000651,1,0.004,0.003333
hex,#E14465,2,0.000651,1,0.004,0.003333
hex,#E16132,2,0.000651,1,0.004,0.003333
hex,#E17A3C,2,0.000651,1,0.004,0.003333
hex,#E1812C,2,0.000651,1,0.004,0.005
hex,#E1914D,2,0.000651,1,0.004,0.003333
hex,#E23B3B,2,0.000651,1,0.004,0.003333
hex,#E2BFD9,2,0.000651,1,0.004,0.003333
hex,#E2EFF8,2,0.000651,1,0.004,0.005
hex,#E33A3A,2,0.000651,1,0.004,0.005
hex,#E33E43,2,0.000651,1,0.004,0.005
hex,#E35E69,2,0.000651,1,0.004,0.003333
hex,#E37944,2,0.000651,1,0.004,0.003333
hex,#E3832A,2,0.000651,1,0.004,0.003333
hex,#E3E3E3,2,0.000651,1,0.004,0.003333
hex,#E45C50,2,0.000651,1,0.004,0.003333
hex,#E4DDBA,2,0.000651,1,0.004,0.003333
hex,#E4E1D1,2,0.000651,1,0.004,0.005
hex,#E58627,2,0.000651,1,0.004,0.005
hex,#E59BD7,2,0.000651,1,0.004,0.005
hex,#E5BB9A,2,0.000651,1,0.004,0.005
hex,#E5E518,2,0.000651,1,0.004,0.005
hex,#E5F2DD,2,0.000651,1,0.004,0.005
hex,#E67E65,2,0.000651,1,0.004,0.003333
hex,#E6B8AF,2,0.000651,2,0.008,0.008333
hex,#E6F2E7,2,0.000651,1,0.004,0.005
hex,#E77925,2,0.000651,1,0.004,0.003333
hex,#E77C8E,2,0.000651,1,0.004,0.005
hex,#E7981A,2,0.000651,1,0.004,0.003333
hex,#E7A14E,2,0.000651,1,0.004,0.005
hex,#E7AFC6,2,0.000651,1,0.004,0.003333
hex,#E7B416,2,0.000651,1,0.004,0.005
hex,#E7F5F8,2,0.000651,1,0.004,0.003333
hex,#E85D75,2,0.000651,2,0.008,0.006667
hex,#E85F42,2,0.000651,1,0.004,0.003333
hex,#E8700C,2,0.000651,1,0.004,0.005
hex,#E89C72,2,0.000651,1,0.004,0.003333
hex,#E8D5BA,2,0.000651,1,0.004,0.005
hex,#E8D6A3,2,0.000651,1,0.004,0.003333
hex,#E8F3D9,2,0.000651,1,0.004,0.005
hex,#E9705B,2,0.000651,1,0.004,0.005
hex,#E9F2DC,2,0.000651,1,0.004,0.003333
hex,#EA3FA8,2,0.000651,1,0.004,0.003333
hex,#EA4335,2,0.000651,2,0.008,0.008333
hex,#EA6B81,2,0.000651,1,0.004,0.003333
hex,#EAD1DC,2,0.000651,1,0.004,0.003333
hex,#EAEAEA,2,0.000651,2,0.008,0.006667
hex,#EAF6EA,2,0.000651,1,0.004,0.005
hex,#EB0060,2,0.000651,1,0.004,0.005
hex,#EBB839,2,0.000651,1,0.004,0.003333
hex,#EBEBEB,2,0.000651,2,0.008,0.006667
hex,#ECE4FF,2,0.000651,1,0.004,0.005
hex,#ED4D3D,2,0.000651,1,0.004,0.003333
hex,#EE9A8C,2,0.000651,1,0.004,0.003333
hex,#EF2D3F,2,0.000651,1,0.004,0.003333
hex,#EF476F,2,0.000651,1,0.004,0.005
hex,#F03A2F,2,0.000651,1,0.004,0.003333
hex,#F0496E,2,0.000651,1,0.004,0.003333
hex,#F05B4D,2,0.000651,1,0.004,0.003333
hex,#F06464,2,0.000651,1,0.004,0.005
hex,#F06A55,2,0.000651,1,0.004,0.005
hex,#F06C78,2,0.000651,1,0.004,0.005
hex,#F07E82,2,0.000651,1,0.004,0.005
hex,#F09A3E,2,0.000651,1,0.004,0.003333
hex,#F0A04B,2,0.000651,1,0.004,0.003333
hex,#F0B6C3,2,0.000651,1,0.004,0.003333
hex,#F0D56A,2,0.000651,1,0.004,0.003333
hex,#F0E442,2,0.000651,2,0.008,0.006667
hex,#F15A24,2,0.000651,1,0.004,0.005
hex,#F15A4A,2,0.000651,1,0.004,0.003333
hex,#F17D3C,2,0.000651,1,0.004,0.003333
hex,#F18F01,2,0.000651,2,0.008,0.008333
hex,#F19A2A,2,0.000651,1,0.004,0.003333
hex,#F19C99,2,0.000651,1,0.004,0.003333
hex,#F1B95C,2,0.000651,1,0.004,0.003333
hex,#F1C40F,2,0.000651,2,0.008,0.008333
hex,#F1D36B,2,0.000651,1,0.004,0.003333
hex,#F1DDBB,2,0.000651,1,0.004,0.003333
hex,#F26F6A,2,0.000651,1,0.004,0.005
hex,#F2A03B,2,0.000651,1,0.004,0.005
hex,#F2B06B,2,0.000651,1,0.004,0.005
hex,#F2B1B7,2,0.000651,1,0.004,0.005
hex,#F2B2B2,2,0.000651,1,0.004,0.005
hex,#F2B5C8,2,0.000651,1,0.004,0.005
hex,#F2B6C8,2,0.000651,1,0.004,0.003333
hex,#F2D19B,2,0.000651,1,0.004,0.003333
hex,#F2D3B3,2,0.000651,2,0.008,0.01
hex,#F2D97D,2,0.000651,1,0.004,0.005
hex,#F2FFF2,2,0.000651,1,0.004,0.005
hex,#F3715B,2,0.000651,1,0.004,0.003333
hex,#F3A27A,2,0.000651,1,0.004,0.003333
hex,#F3A35C,2,0.000651,2,0.008,0.008333
hex,#F3A6C5,2,0.000651,1,0.004,0.003333
hex,#F3A83B,2,0.000651,1,0.004,0.003333
hex,#F3B41B,2,0.000651,1,0.004,0.005
hex,#F3B6C6,2,0.000651,1,0.004,0.003333
hex,#F3C55E,2,0.000651,1,0.004,0.003333
hex,#F3C8B5,2,0.000651,1,0.004,0.003333
hex,#F3C95B,2,0.000651,1,0.004,0.003333
hex,#F3D345,2,0.000651,1,0.004,0.003333
hex,#F40000,2,0.000651,2,0.008,0.006667
hex,#F4513B,2,0.000651,1,0.004,0.005
hex,#F4B400,2,0.000651,1,0.004,0.003333
hex,#F4B6B6,2,0.000651,2,0.008,0.008333
hex,#F4BC00,2,0.000651,1,0.004,0.003333
hex,#F4C2C2,2,0.000651,2,0.008,0.006667
hex,#F4C4A6,2,0.000651,1,0.004,0.005
hex,#F4C542,2,0.000651,2,0.008,0.008333
hex,#F4CDD4,2,0.000651,1,0.004,0.003333
hex,#F4D35E,2,0.000651,2,0.008,0.006667
hex,#F4D3BA,2,0.000651,1,0.004,0.003333
hex,#F57C00,2,0.000651,1,0.004,0.003333
hex,#F59A45,2,0.000651,1,0.004,0.003333
hex,#F5A04A,2,0.000651,1,0.004,0.003333
hex,#F5C4B3,2,0.000651,1,0.004,0.003333
hex,#F5C518,2,0.000651,1,0.004,0.003333
hex,#F5D37A,2,0.000651,2,0.008,0.006667
hex,#F6A6A6,2,0.000651,1,0.004,0.003333
hex,#F6C6A7,2,0.000651,1,0.004,0.005
hex,#F6C98D,2,0.000651,1,0.004,0.003333
hex,#F6D365,2,0.000651,2,0.008,0.008333
hex,#F6D7B7,2,0.000651,2,0.008,0.008333
hex,#F6DBFE,2,0.000651,1,0.004,0.003333
hex,#F78D47,2,0.000651,1,0.004,0.003333
hex,#F7C6A3,2,0.000651,2,0.008,0.008333
hex,#F7D5B7,2,0.000651,1,0.004,0.005
hex,#F8D7D9,2,0.000651,1,0.004,0.005
hex,#F8E9C8,2,0.000651,1,0.004,0.003333
hex,#F8ECA4,2,0.000651,1,0.004,0.005
hex,#F9C20B,2,0.000651,1,0.004,0.003333
hex,#F9DA78,2,0.000651,1,0.004,0.005
hex,#F9DCD7,2,0.000651,1,0.004,0.005
hex,#F9DDCF,2,0.000651,1,0.004,0.005
hex,#F9E29A,2,0.000651,1,0.004,0.005
hex,#F9E2D2,2,0.000651,1,0.004,0.005
hex,#F9E7E7,2,0.000651,1,0.004,0.005
hex,#FAC8CC,2,0.000651,1,0.004,0.005
hex,#FAD4A5,2,0.000651,1,0.004,0.003333
hex,#FAE6E6,2,0.000651,1,0.004,0.003333
hex,#FB9A99,2,0.000651,2,0.008,0.008333
hex,#FBAFE4,2,0.000651,1,0.004,0.003333
hex,#FBE3D2,2,0.000651,1,0.004,0.003333
hex,#FC6A73,2,0.000651,1,0.004,0.003333
hex,#FCA636,2,0.000651,2,0.008,0.008333
hex,#FCDEA4,2,0.000651,1,0.004,0.005
hex,#FCE4EC,2,0.000651,2,0.008,0.008333
hex,#FDA16B,2,0.000651,1,0.004,0.003333
hex,#FDB863,2,0.000651,1,0.004,0.003333
hex,#FDBF6F,2,0.000651,1,0.004,0.005
hex,#FDEEB9,2,0.000651,1,0.004,0.005
hex,#FDF5E8,2,0.000651,1,0.004,0.005
hex,#FEF8A5,2,0.000651,1,0.004,0.005
hex,#FF1493,2,0.000651,2,0.008,0.01
hex,#FF5252,2,0.000651,1,0.004,0.005
hex,#FF5A5A,2,0.000651,1,0.004,0.005
hex,#FF5A64,2,0.000651,1,0.004,0.003333
hex,#FF7D0C,2,0.000651,1,0.004,0.005
hex,#FF9700,2,0.000651,1,0.004,0.005
hex,#FF9800,2,0.000651,1,0.004,0.005
hex,#FF9B43,2,0.000651,1,0.004,0.005
