source_version,conference,analysis_stratum,metric,n,mean,trimmed_mean_20,median,q1,q3,min,max
arxiv_preprint_provisional_parser,ICML,oral,figure_captions,99,12.939394,10.57377,10.0,6.5,16.0,1.0,91.0
arxiv_preprint_provisional_parser,ICML,oral,table_captions,99,7.878788,6.672131,7.0,3.0,11.0,0.0,32.0
arxiv_preprint_provisional_parser,ICML,oral,algorithm_captions,99,0.858586,0.508197,1.0,0.0,1.0,0.0,9.0
arxiv_preprint_provisional_parser,ICML,oral,numbered_equations_provisional,99,23.010101,12.934426,11.0,2.0,27.0,0.0,296.0
arxiv_preprint_provisional_parser,ICML,oral,theorem_items,99,14.040404,3.737705,0.0,0.0,12.5,0.0,211.0
arxiv_preprint_provisional_parser,ICML,oral,limitation_mentions_main,99,2.525253,1.95082,2.0,1.0,3.0,0.0,14.0
arxiv_preprint_provisional_parser,ICML,outstanding,pdf_pages,2,31.0,31.0,31.0,25.0,37.0,19.0,43.0
arxiv_preprint_provisional_parser,ICML,outstanding,total_words,2,11795.0,11795.0,11795.0,10228.5,13361.5,8662.0,14928.0
arxiv_preprint_provisional_parser,ICML,outstanding,main_words_provisional,2,5376.5,5376.5,5376.5,5254.75,5498.25,5133.0,5620.0
arxiv_preprint_provisional_parser,ICML,outstanding,appendix_words_provisional,2,2795.0,2795.0,2795.0,2699.5,2890.5,2604.0,2986.0
arxiv_preprint_provisional_parser,ICML,outstanding,figure_captions,2,3.5,3.5,3.5,1.75,5.25,0.0,7.0
arxiv_preprint_provisional_parser,ICML,outstanding,table_captions,2,3.0,3.0,3.0,1.5,4.5,0.0,6.0
arxiv_preprint_provisional_parser,ICML,outstanding,algorithm_captions,2,1.5,1.5,1.5,0.75,2.25,0.0,3.0
arxiv_preprint_provisional_parser,ICML,outstanding,numbered_equations_provisional,2,26.0,26.0,26.0,17.5,34.5,9.0,43.0
arxiv_preprint_provisional_parser,ICML,outstanding,theorem_items,2,17.5,17.5,17.5,8.75,26.25,0.0,35.0
arxiv_preprint_provisional_parser,ICML,outstanding,limitation_mentions_main,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arxiv_preprint_provisional_parser,ICML,spotlight,pdf_pages,99,30.79798,27.442623,26.0,21.0,36.5,11.0,78.0
arxiv_preprint_provisional_parser,ICML,spotlight,total_words,99,13514.636364,12429.672131,12203.0,9425.5,15640.5,6417.0,27338.0
arxiv_preprint_provisional_parser,ICML,spotlight,main_words_provisional,99,10779.171717,9716.721311,9444.0,6092.5,13547.5,3510.0,25780.0
arxiv_preprint_provisional_parser,ICML,spotlight,appendix_words_provisional,99,6797.494949,5916.065574,5784.0,3227.0,8881.0,0.0,21430.0
arxiv_preprint_provisional_parser,ICML,spotlight,figure_captions,99,10.292929,8.557377,9.0,5.0,12.0,0.0,65.0
arxiv_preprint_provisional_parser,ICML,spotlight,table_captions,99,7.464646,6.393443,6.0,3.0,9.5,0.0,28.0
arxiv_preprint_provisional_parser,ICML,spotlight,algorithm_captions,99,0.919192,0.508197,0.0,0.0,1.0,0.0,7.0
arxiv_preprint_provisional_parser,ICML,spotlight,numbered_equations_provisional,99,27.30303,16.229508,14.0,5.5,27.0,0.0,286.0
arxiv_preprint_provisional_parser,ICML,spotlight,theorem_items,99,13.858586,4.081967,0.0,0.0,15.0,0.0,127.0
arxiv_preprint_provisional_parser,ICML,spotlight,limitation_mentions_main,99,2.444444,2.180328,2.0,1.0,3.5,0.0,10.0
