scope,statistic,ngram_order,value,object_count,object_share,papers_present,paper_prevalence,conference_equal_paper_prevalence
all,caption_move_sequence,,title>setup>comparison>main_finding,385,0.071296,132,0.528,0.52
all,caption_move_sequence,,title>encoding_key,39,0.007222,25,0.1,0.1
all,caption_move_sequence,,title>setup>encoding_key>comparison,368,0.068148,137,0.548,0.543333
all,caption_move_sequence,,title>setup>encoding_key>appendix_pointer,26,0.004815,22,0.088,0.076667
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding,345,0.063889,121,0.484,0.486667
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>main_finding,4,0.000741,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>appendix_pointer,40,0.007407,24,0.096,0.096667
all,caption_move_sequence,,title>setup>encoding_key,452,0.083704,146,0.584,0.576667
all,caption_move_sequence,,title>setup>comparison,609,0.112778,156,0.624,0.615
all,caption_move_sequence,,title>setup,782,0.144815,172,0.688,0.676667
all,caption_move_sequence,,title,532,0.098519,134,0.536,0.53
all,caption_move_sequence,,title>setup>comparison>encoding_key,58,0.010741,35,0.14,0.133333
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison>main_finding,11,0.002037,5,0.02,0.016667
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison>appendix_pointer,4,0.000741,2,0.008,0.006667
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition,73,0.013519,38,0.152,0.155
all,caption_move_sequence,,title>comparison,129,0.023889,46,0.184,0.181667
all,caption_move_sequence,,title>setup>abbreviation_definition,81,0.015,46,0.184,0.19
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition,49,0.009074,30,0.12,0.115
all,caption_move_sequence,,title>setup>uncertainty_definition,27,0.005,18,0.072,0.076667
all,caption_move_sequence,,title>setup>main_finding,138,0.025556,64,0.256,0.25
all,caption_move_sequence,,title>setup>encoding_key>comparison>appendix_pointer,30,0.005556,18,0.072,0.071667
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition,27,0.005,18,0.072,0.071667
all,caption_move_sequence,,title>comparison>appendix_pointer,36,0.006667,5,0.02,0.02
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition,56,0.01037,26,0.104,0.11
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>abbreviation_definition,49,0.009074,23,0.092,0.098333
all,caption_move_sequence,,title>comparison>setup,6,0.001111,4,0.016,0.015
all,caption_move_sequence,,title>comparison>main_finding,74,0.013704,34,0.136,0.136667
all,caption_move_sequence,,title>main_finding,20,0.003704,16,0.064,0.058333
all,caption_move_sequence,,title>setup>appendix_pointer,175,0.032407,20,0.08,0.075
all,caption_move_sequence,,title>setup>encoding_key>main_finding,123,0.022778,69,0.276,0.276667
all,caption_move_sequence,,title>setup>comparison>main_finding>appendix_pointer,28,0.005185,22,0.088,0.083333
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>comparison>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>abbreviation_definition>appendix_pointer,4,0.000741,4,0.016,0.018333
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition,38,0.007037,21,0.084,0.088333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>abbreviation_definition,10,0.001852,7,0.028,0.03
all,caption_move_sequence,,title>comparison>encoding_key>main_finding,11,0.002037,4,0.016,0.015
all,caption_move_sequence,,title>appendix_pointer>setup>encoding_key,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>abbreviation_definition,75,0.013889,36,0.144,0.146667
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison,3,0.000556,3,0.012,0.011667
all,caption_move_sequence,,title>setup>comparison>encoding_key>appendix_pointer,5,0.000926,4,0.016,0.013333
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition>appendix_pointer,5,0.000926,1,0.004,0.003333
all,caption_move_sequence,,title>comparison>encoding_key,6,0.001111,6,0.024,0.023333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>encoding_key,7,0.001296,2,0.008,0.006667
all,caption_move_sequence,,title>appendix_pointer,5,0.000926,5,0.02,0.02
all,caption_move_sequence,,title>setup>comparison>appendix_pointer,24,0.004444,17,0.068,0.066667
all,caption_move_sequence,,title>setup>uncertainty_definition>abbreviation_definition,4,0.000741,4,0.016,0.015
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>main_finding,8,0.001481,8,0.032,0.033333
all,caption_move_sequence,,title>encoding_key>comparison,10,0.001852,8,0.032,0.028333
all,caption_move_sequence,,title>setup>abbreviation_definition>appendix_pointer,6,0.001111,6,0.024,0.028333
all,caption_move_sequence,,title>setup>encoding_key>main_finding>abbreviation_definition,8,0.001481,6,0.024,0.025
all,caption_move_sequence,,title>setup>main_finding>abbreviation_definition,9,0.001667,6,0.024,0.026667
all,caption_move_sequence,,title>abbreviation_definition,7,0.001296,5,0.02,0.021667
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition>abbreviation_definition,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>abbreviation_definition>main_finding,5,0.000926,4,0.016,0.016667
all,caption_move_sequence,,title>setup>uncertainty_definition>main_finding,5,0.000926,4,0.016,0.015
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition>appendix_pointer>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>main_finding>appendix_pointer,4,0.000741,4,0.016,0.015
all,caption_move_sequence,,title>setup>comparison>encoding_key>abbreviation_definition,13,0.002407,9,0.036,0.035
all,caption_move_sequence,,title>encoding_key>abbreviation_definition,6,0.001111,4,0.016,0.015
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>abbreviation_definition>main_finding,4,0.000741,4,0.016,0.015
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>comparison,5,0.000926,4,0.016,0.013333
all,caption_move_sequence,,title>setup>comparison>main_finding>abbreviation_definition,32,0.005926,17,0.068,0.07
all,caption_move_sequence,,title>encoding_key>comparison>main_finding,4,0.000741,4,0.016,0.018333
all,caption_move_sequence,,title>comparison>main_finding>abbreviation_definition,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>encoding_key>setup,2,0.00037,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>appendix_pointer>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>uncertainty_definition,11,0.002037,9,0.036,0.035
all,caption_move_sequence,,title>uncertainty_definition,8,0.001481,5,0.02,0.021667
all,caption_move_sequence,,title>setup>comparison>main_finding>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>abbreviation_definition>encoding_key,7,0.001296,4,0.016,0.015
all,caption_move_sequence,,title>comparison>abbreviation_definition,3,0.000556,3,0.012,0.011667
all,caption_move_sequence,,title>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>encoding_key>main_finding,3,0.000556,3,0.012,0.013333
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition>appendix_pointer,6,0.001111,5,0.02,0.023333
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition>main_finding,9,0.001667,7,0.028,0.028333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>uncertainty_definition>abbreviation_definition,34,0.006296,3,0.012,0.011667
all,caption_move_sequence,,title>setup>encoding_key>appendix_pointer>comparison>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>encoding_key>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>setup>uncertainty_definition>encoding_key,3,0.000556,3,0.012,0.011667
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>appendix_pointer,3,0.000556,3,0.012,0.013333
all,caption_move_sequence,,title>setup>comparison>encoding_key>main_finding,15,0.002778,11,0.044,0.045
all,caption_move_sequence,,title>comparison>main_finding>appendix_pointer,4,0.000741,4,0.016,0.015
all,caption_move_sequence,,title>setup>abbreviation_definition>main_finding,2,0.00037,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>comparison>appendix_pointer>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>encoding_key>main_finding>appendix_pointer,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>main_finding>encoding_key,4,0.000741,3,0.012,0.013333
all,caption_move_sequence,,title>comparison>main_finding>encoding_key,4,0.000741,3,0.012,0.013333
all,caption_move_sequence,,setup>comparison>main_finding,7,0.001296,2,0.008,0.006667
all,caption_move_sequence,,title>setup>abbreviation_definition>encoding_key>comparison>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>main_finding>uncertainty_definition,11,0.002037,8,0.032,0.033333
all,caption_move_sequence,,title>setup>encoding_key>main_finding>appendix_pointer,12,0.002222,10,0.04,0.04
all,caption_move_sequence,,title>setup>comparison>main_finding>uncertainty_definition>abbreviation_definition,4,0.000741,2,0.008,0.01
all,caption_move_sequence,,title>setup>encoding_key>main_finding>uncertainty_definition,2,0.00037,2,0.008,0.008333
all,caption_move_sequence,,title>comparison>uncertainty_definition,10,0.001852,5,0.02,0.025
all,caption_move_sequence,,title>setup>comparison>main_finding>uncertainty_definition>appendix_pointer,2,0.00037,2,0.008,0.01
all,caption_move_sequence,,title>comparison>main_finding>uncertainty_definition>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>abbreviation_definition,10,0.001852,6,0.024,0.028333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>abbreviation_definition>appendix_pointer,5,0.000926,3,0.012,0.013333
all,caption_move_sequence,,title>encoding_key>setup>comparison>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>encoding_key>setup>comparison,9,0.001667,1,0.004,0.005
all,caption_move_sequence,,title>setup>abbreviation_definition>comparison,6,0.001111,3,0.012,0.013333
all,caption_move_sequence,,title>setup>abbreviation_definition>encoding_key>comparison,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>main_finding,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>comparison>appendix_pointer>abbreviation_definition,2,0.00037,1,0.004,0.005
all,caption_move_sequence,,title>setup>comparison>encoding_key>main_finding>abbreviation_definition,4,0.000741,2,0.008,0.01
all,caption_move_sequence,,title>encoding_key>appendix_pointer,3,0.000556,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>appendix_pointer,2,0.00037,2,0.008,0.01
all,caption_move_sequence,,title>comparison>encoding_key>main_finding>abbreviation_definition,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>abbreviation_definition>uncertainty_definition,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>uncertainty_definition,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition>appendix_pointer,5,0.000926,4,0.016,0.016667
all,caption_move_sequence,,title>comparison>setup>main_finding,3,0.000556,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition>uncertainty_definition,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition>main_finding>appendix_pointer,2,0.00037,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>comparison>main_finding,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>abbreviation_definition>comparison>uncertainty_definition>appendix_pointer,2,0.00037,1,0.004,0.005
all,caption_move_sequence,,title>setup>abbreviation_definition>comparison>appendix_pointer,2,0.00037,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>comparison,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>abbreviation_definition>comparison>main_finding,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>encoding_key>setup>comparison>main_finding,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>appendix_pointer>setup>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>setup>setup>setup,2,0.00037,1,0.004,0.005
all,caption_move_sequence,,title>setup>comparison>setup,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>comparison>main_finding>uncertainty_definition,2,0.00037,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>uncertainty_definition>encoding_key>comparison,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition>abbreviation_definition,2,0.00037,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.005
all,caption_move_sequence,,title>setup>comparison>appendix_pointer>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,setup>encoding_key>comparison>main_finding,2,0.00037,2,0.008,0.006667
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>encoding_key>appendix_pointer,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>uncertainty_definition>appendix_pointer,3,0.000556,2,0.008,0.006667
all,caption_move_sequence,,setup>encoding_key>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,setup>comparison,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,setup>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition,2,0.00037,2,0.008,0.006667
all,caption_move_sequence,,title>setup>main_finding>uncertainty_definition,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>abbreviation_definition>comparison,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>uncertainty_definition>encoding_key>main_finding,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>setup>main_finding>encoding_key,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>encoding_key>comparison>abbreviation_definition>appendix_pointer,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>abbreviation_definition>uncertainty_definition,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>abbreviation_definition>uncertainty_definition,2,0.00037,1,0.004,0.003333
all,caption_move_sequence,,title>uncertainty_definition>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>comparison>uncertainty_definition>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>abbreviation_definition>encoding_key,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>comparison>encoding_key>uncertainty_definition>abbreviation_definition,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>comparison>encoding_key>abbreviation_definition,1,0.000185,1,0.004,0.003333
all,caption_ngram,1,b,954,0.176667,177,0.708,0.718333
all,caption_ngram,1,results,941,0.174259,193,0.772,0.76
all,caption_ngram,1,model,936,0.173333,183,0.732,0.723333
all,caption_ngram,1,performance,858,0.158889,177,0.708,0.705
all,caption_ngram,1,across,822,0.152222,192,0.768,0.766667
all,caption_ngram,1,each,694,0.128519,179,0.716,0.713333
all,caption_ngram,1,different,668,0.123704,188,0.752,0.745
all,caption_ngram,1,models,657,0.121667,147,0.588,0.575
all,caption_ngram,1,training,655,0.121296,159,0.636,0.635
all,caption_ngram,1,comparison,637,0.117963,169,0.676,0.673333
all,caption_ngram,1,d,548,0.101481,121,0.484,0.491667
all,caption_ngram,1,s,509,0.094259,139,0.556,0.551667
all,caption_ngram,1,all,484,0.08963,147,0.588,0.586667
all,caption_ngram,1,data,426,0.078889,118,0.472,0.471667
all,caption_ngram,1,dataset,426,0.078889,119,0.476,0.47
all,caption_ngram,1,k,413,0.076481,106,0.424,0.438333
all,caption_ngram,1,n,409,0.075741,67,0.268,0.28
all,caption_ngram,1,over,406,0.075185,124,0.496,0.506667
all,caption_ngram,1,accuracy,406,0.075185,104,0.416,0.423333
all,caption_ngram,1,best,391,0.072407,113,0.452,0.451667
all,caption_ngram,1,while,388,0.071852,146,0.584,0.598333
all,caption_ngram,1,under,368,0.068148,111,0.444,0.451667
all,caption_ngram,1,t,355,0.065741,79,0.316,0.326667
all,caption_ngram,1,datasets,353,0.06537,94,0.376,0.373333
all,caption_ngram,1,average,351,0.065,116,0.464,0.461667
all,caption_ngram,1,c,344,0.063704,117,0.468,0.475
all,caption_ngram,1,between,333,0.061667,143,0.572,0.571667
all,caption_ngram,1,tasks,330,0.061111,74,0.296,0.291667
all,caption_ngram,1,methods,325,0.060185,118,0.472,0.478333
all,caption_ngram,1,evaluation,316,0.058519,99,0.396,0.398333
all,caption_ngram,1,task,308,0.057037,86,0.344,0.331667
all,caption_ngram,1,reasoning,306,0.056667,54,0.216,0.215
all,caption_ngram,1,i,306,0.056667,97,0.388,0.406667
all,caption_ngram,1,e,294,0.054444,93,0.372,0.378333
all,caption_ngram,1,vs,281,0.052037,87,0.348,0.358333
all,caption_ngram,1,values,278,0.051481,90,0.36,0.365
all,caption_ngram,1,mean,276,0.051111,77,0.308,0.311667
all,caption_ngram,1,m,272,0.05037,81,0.324,0.33
all,caption_ngram,1,generation,271,0.050185,79,0.316,0.301667
all,caption_ngram,1,number,267,0.049444,115,0.46,0.451667
all,caption_ngram,1,prompt,267,0.049444,55,0.22,0.22
all,caption_ngram,1,al,256,0.047407,90,0.36,0.351667
all,caption_ngram,1,tokens,256,0.047407,65,0.26,0.263333
all,caption_ngram,1,et,253,0.046852,89,0.356,0.348333
all,caption_ngram,1,three,247,0.045741,106,0.424,0.428333
all,caption_ngram,1,p,241,0.04463,64,0.256,0.258333
all,caption_ngram,1,x,241,0.04463,63,0.252,0.26
all,caption_ngram,1,method,233,0.043148,97,0.388,0.395
all,caption_ngram,1,show,232,0.042963,96,0.384,0.378333
all,caption_ngram,1,ablation,231,0.042778,105,0.42,0.418333
all,caption_ngram,1,r,228,0.042222,69,0.276,0.276667
all,caption_ngram,1,qwen,227,0.042037,53,0.212,0.218333
all,caption_ngram,1,when,225,0.041667,98,0.392,0.393333
all,caption_ngram,1,test,220,0.040741,70,0.28,0.275
all,caption_ngram,1,both,218,0.04037,107,0.428,0.426667
all,caption_ngram,1,w,217,0.040185,53,0.212,0.223333
all,caption_ngram,1,global,214,0.03963,26,0.104,0.103333
all,caption_ngram,1,shows,213,0.039444,89,0.356,0.36
all,caption_ngram,1,set,212,0.039259,78,0.312,0.323333
all,caption_ngram,1,generated,211,0.039074,77,0.308,0.301667
all,caption_ngram,1,samples,211,0.039074,68,0.272,0.27
all,caption_ngram,1,used,208,0.038519,102,0.408,0.408333
all,caption_ngram,1,two,205,0.037963,108,0.432,0.416667
all,caption_ngram,1,size,203,0.037593,95,0.38,0.381667
all,caption_ngram,1,scores,202,0.037407,74,0.296,0.296667
all,caption_ngram,1,only,199,0.036852,104,0.416,0.423333
all,caption_ngram,1,which,197,0.036481,111,0.444,0.443333
all,caption_ngram,1,token,197,0.036481,64,0.256,0.253333
all,caption_ngram,1,loss,195,0.036111,59,0.236,0.228333
all,caption_ngram,1,can,194,0.035926,95,0.38,0.375
all,caption_ngram,1,length,193,0.035741,61,0.244,0.24
all,caption_ngram,1,report,193,0.035741,83,0.332,0.341667
all,caption_ngram,1,trained,193,0.035741,79,0.316,0.316667
all,caption_ngram,1,more,192,0.035556,92,0.368,0.361667
all,caption_ngram,1,image,192,0.035556,46,0.184,0.175
all,caption_ngram,1,benchmark,191,0.03537,66,0.264,0.255
all,caption_ngram,1,same,190,0.035185,86,0.344,0.348333
all,caption_ngram,1,time,190,0.035185,82,0.328,0.333333
all,caption_ngram,1,score,189,0.035,70,0.28,0.276667
all,caption_ngram,1,first,188,0.034815,81,0.324,0.313333
all,caption_ngram,1,distribution,188,0.034815,87,0.348,0.358333
all,caption_ngram,1,standard,184,0.034074,76,0.304,0.31
all,caption_ngram,1,row,182,0.033704,54,0.216,0.215
all,caption_ngram,1,red,178,0.032963,82,0.328,0.326667
all,caption_ngram,1,g,177,0.032778,71,0.284,0.288333
all,caption_ngram,1,examples,176,0.032593,68,0.272,0.26
all,caption_ngram,1,baseline,175,0.032407,90,0.36,0.36
all,caption_ngram,1,h,173,0.032037,39,0.156,0.16
all,caption_ngram,1,error,172,0.031852,62,0.248,0.253333
all,caption_ngram,1,gpu,171,0.031667,29,0.116,0.118333
all,caption_ngram,1,not,170,0.031481,85,0.34,0.345
all,caption_ngram,1,l,169,0.031296,48,0.192,0.195
all,caption_ngram,1,synthetic,168,0.031111,31,0.124,0.12
all,caption_ngram,1,indicate,167,0.030926,81,0.324,0.326667
all,caption_ngram,1,example,167,0.030926,76,0.304,0.298333
all,caption_ngram,1,rate,166,0.030741,58,0.232,0.23
all,caption_ngram,1,images,166,0.030741,36,0.144,0.136667
all,caption_ngram,1,after,165,0.030556,81,0.324,0.331667
all,caption_ngram,1,better,165,0.030556,87,0.348,0.355
all,caption_ngram,1,full,164,0.03037,67,0.268,0.265
all,caption_ngram,1,higher,164,0.03037,88,0.352,0.355
all,caption_ngram,1,steps,162,0.03,72,0.288,0.281667
all,caption_ngram,1,sampling,161,0.029815,44,0.176,0.188333
all,caption_ngram,1,ablations,158,0.029259,19,0.076,0.076667
all,caption_ngram,1,baselines,158,0.029259,74,0.296,0.306667
all,caption_ngram,1,setting,154,0.028519,54,0.216,0.223333
all,caption_ngram,1,indicates,154,0.028519,79,0.316,0.321667
all,caption_ngram,1,layer,154,0.028519,36,0.144,0.156667
all,caption_ngram,1,without,153,0.028333,83,0.332,0.335
all,caption_ngram,1,code,152,0.028148,31,0.124,0.125
all,caption_ngram,1,lower,152,0.028148,80,0.32,0.321667
all,caption_ngram,1,visual,151,0.027963,44,0.176,0.17
all,caption_ngram,1,experiments,150,0.027778,62,0.248,0.25
all,caption_ngram,1,input,150,0.027778,62,0.248,0.253333
all,caption_ngram,1,per,150,0.027778,73,0.292,0.31
all,caption_ngram,1,blue,149,0.027593,79,0.316,0.32
all,caption_ngram,1,into,149,0.027593,92,0.368,0.371667
all,caption_ngram,1,than,149,0.027593,85,0.34,0.345
all,caption_ngram,1,value,149,0.027593,53,0.212,0.205
all,caption_ngram,1,nvidia,148,0.027407,12,0.048,0.048333
all,caption_ngram,1,learning,147,0.027222,60,0.24,0.25
all,caption_ngram,1,reward,146,0.027037,39,0.156,0.16
all,caption_ngram,1,quality,146,0.027037,56,0.224,0.211667
all,caption_ngram,1,attention,145,0.026852,35,0.14,0.138333
all,caption_ngram,1,structure,145,0.026852,47,0.188,0.195
all,caption_ngram,1,bold,145,0.026852,58,0.232,0.228333
all,caption_ngram,1,target,144,0.026667,49,0.196,0.201667
all,caption_ngram,1,f,144,0.026667,57,0.228,0.238333
all,caption_ngram,1,denotes,144,0.026667,69,0.276,0.278333
all,caption_ngram,1,metrics,143,0.026481,78,0.312,0.315
all,caption_ngram,1,analysis,142,0.026296,76,0.304,0.301667
all,caption_ngram,1,during,142,0.026296,80,0.32,0.331667
all,caption_ngram,1,features,140,0.025926,45,0.18,0.178333
all,caption_ngram,1,noise,140,0.025926,33,0.132,0.126667
all,caption_ngram,1,rtx,138,0.025556,7,0.028,0.03
all,caption_ngram,1,visualization,136,0.025185,65,0.26,0.26
all,caption_ngram,1,rates,133,0.02463,44,0.176,0.178333
all,caption_ngram,1,compared,132,0.024444,79,0.316,0.31
all,caption_ngram,1,agent,131,0.024259,28,0.112,0.11
all,caption_ngram,1,context,131,0.024259,38,0.152,0.153333
all,caption_ngram,1,utility,131,0.024259,11,0.044,0.045
all,caption_ngram,1,gpt,130,0.024074,33,0.132,0.118333
all,caption_ngram,1,random,130,0.024074,57,0.228,0.236667
all,caption_ngram,1,v,130,0.024074,57,0.228,0.23
all,caption_ngram,1,benchmarks,129,0.023889,55,0.22,0.221667
all,caption_ngram,1,hyperparameters,129,0.023889,54,0.216,0.235
all,caption_ngram,1,success,128,0.023704,34,0.136,0.138333
all,caption_ngram,1,other,128,0.023704,77,0.308,0.303333
all,caption_ngram,1,policy,128,0.023704,26,0.104,0.105
all,caption_ngram,1,local,128,0.023704,23,0.092,0.09
all,caption_ngram,1,achieves,127,0.023519,63,0.252,0.258333
all,caption_ngram,1,sizes,124,0.022963,49,0.196,0.195
all,caption_ngram,1,base,123,0.022778,56,0.224,0.23
all,caption_ngram,1,text,122,0.022593,51,0.204,0.191667
all,caption_ngram,1,settings,121,0.022407,68,0.272,0.276667
all,caption_ngram,1,evaluated,121,0.022407,74,0.296,0.293333
all,caption_ngram,1,llama,120,0.022222,36,0.144,0.141667
all,caption_ngram,1,second,120,0.022222,52,0.208,0.196667
all,caption_ngram,1,latent,119,0.022037,32,0.128,0.126667
all,caption_ngram,1,alignment,118,0.021852,42,0.168,0.17
all,caption_ngram,1,metric,118,0.021852,32,0.128,0.135
all,caption_ngram,1,pass,117,0.021667,29,0.116,0.12
all,caption_ngram,1,see,117,0.021667,63,0.252,0.251667
all,caption_ngram,1,one,117,0.021667,62,0.248,0.251667
all,caption_ngram,1,output,116,0.021481,45,0.18,0.181667
all,caption_ngram,1,function,115,0.021296,47,0.188,0.191667
all,caption_ngram,1,o,113,0.020926,43,0.172,0.166667
all,caption_ngram,1,runs,113,0.020926,48,0.192,0.196667
all,caption_ngram,1,shown,113,0.020926,61,0.244,0.24
all,caption_ngram,1,inference,113,0.020926,57,0.228,0.221667
all,caption_ngram,1,memory,112,0.020741,39,0.156,0.158333
all,caption_ngram,1,use,112,0.020741,67,0.268,0.273333
all,caption_ngram,1,illustration,112,0.020741,69,0.276,0.268333
all,caption_ngram,1,video,112,0.020741,24,0.096,0.09
all,caption_ngram,1,relative,108,0.02,54,0.216,0.225
all,caption_ngram,1,respectively,108,0.02,60,0.24,0.24
all,caption_ngram,1,original,108,0.02,49,0.196,0.196667
all,caption_ngram,1,against,107,0.019815,44,0.176,0.181667
all,caption_ngram,1,but,106,0.01963,68,0.272,0.27
all,caption_ngram,1,various,105,0.019444,59,0.236,0.226667
all,caption_ngram,1,its,104,0.019259,68,0.272,0.263333
all,caption_ngram,1,sequence,104,0.019259,49,0.196,0.201667
all,caption_ngram,1,varying,102,0.018889,57,0.228,0.226667
all,caption_ngram,1,overview,102,0.018889,79,0.316,0.316667
all,caption_ngram,1,dashed,102,0.018889,51,0.204,0.208333
all,caption_ngram,1,final,102,0.018889,54,0.216,0.221667
all,caption_ngram,1,based,101,0.018704,58,0.232,0.226667
all,caption_ngram,1,information,101,0.018704,54,0.216,0.201667
all,caption_ngram,1,averaged,101,0.018704,43,0.172,0.18
all,caption_ngram,1,step,101,0.018704,49,0.196,0.195
all,caption_ngram,1,compare,101,0.018704,48,0.192,0.195
all,caption_ngram,1,study,100,0.018519,61,0.244,0.233333
all,caption_ngram,1,sample,99,0.018333,55,0.22,0.221667
all,caption_ngram,1,scale,99,0.018333,42,0.168,0.171667
all,caption_ngram,1,four,97,0.017963,55,0.22,0.23
all,caption_ngram,1,corresponding,97,0.017963,62,0.248,0.243333
